time,distance
"5/8/2026, 9:59:26 PM",NaN

time,distance
"5/8/2026, 9:59:26 PM",NaN

time,distance
"5/8/2026, 9:59:26 PM",NaN

time,distance
"5/8/2026, 9:59:26 PM",NaN

time,distance
"5/8/2026, 9:59:26 PM",NaN

time,distance
"5/8/2026, 9:59:26 PM",NaN

time,distance
"5/8/2026, 9:59:27 PM",NaN

time,distance
"5/8/2026, 9:59:27 PM",NaN

time,distance
"5/8/2026, 9:59:27 PM",NaN

time,distance
"5/8/2026, 9:59:27 PM",NaN

time,distance
"5/8/2026, 9:59:27 PM",NaN

time,distance
"5/8/2026, 9:59:27 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:28 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:29 PM",NaN

time,distance
"5/8/2026, 9:59:30 PM",NaN

time,distance
"5/8/2026, 9:59:30 PM",NaN

time,distance
"5/8/2026, 9:59:30 PM",NaN

time,distance
"5/8/2026, 9:59:30 PM",NaN

time,distance
"5/8/2026, 9:59:30 PM",NaN

time,distance
"5/8/2026, 9:59:30 PM",NaN

time,distance
"5/8/2026, 9:59:31 PM",NaN

time,distance
"5/8/2026, 9:59:31 PM",NaN

time,distance
"5/8/2026, 9:59:33 PM",NaN

time,distance
"5/8/2026, 9:59:33 PM",NaN

time,distance
"5/8/2026, 9:59:34 PM",NaN

time,distance
"5/8/2026, 9:59:34 PM",NaN

time,distance
"5/8/2026, 9:59:34 PM",NaN

time,distance
"5/8/2026, 9:59:34 PM",NaN

time,distance
"5/8/2026, 9:59:35 PM",NaN

time,distance
"5/8/2026, 9:59:35 PM",NaN

time,distance
"5/8/2026, 9:59:35 PM",NaN

time,distance
"5/8/2026, 9:59:35 PM",NaN

time,distance
"5/8/2026, 9:59:35 PM",NaN

time,distance
"5/8/2026, 9:59:35 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
"5/8/2026, 9:59:36 PM",NaN

time,distance
